id	preprocessed_text	text	label
709664093246873602	tesla motors inc workers report low salaries but high job satisfaction $ tsla tesla <url>	Tesla Motors Inc Workers Report Low Salaries But High Job Satisfaction $TSLA #Tesla https://t.co/KkCs9l1YGR	1
31958885	<user> vwap is <number> , held the trend line . should be on a lot of radars . $ navb	@louiebeene vwap is 1.63, held the trend line. Should be on a LOT of radars. $NAVB	1
17470361	<number> - <number> - <number> $ sfun buy at $ <number> mental - stop around $ <number> target at $ <number> <url>	18-11-2013 $SFUN BUY at $68.74 Mental-stop around $67.05 Target at $70.80 www.swingstocktraders.com	1
719609967565803520	$ wmt , <number> % . $ wmt	$WMT, 13% . $WMT	1
12720972	$ je looks like we are bouncing . would be nice to finish over $ <number> today , and make the hammer . nice volume from <number> bottom . fingers crossed	$JE LOOKS like we are bouncing. Would be nice to finish over $6 today, and make the hammer. Nice volume from 5.77 bottom. Fingers crossed	1
719534328061911040	<url>	https://t.co/lPF2fBX26z	1
710141385752649731	$ gild milligan @ barclays on m & amp ; a urgency : dont know how long the window will last , may rebound faster than we think <url>	$GILD Milligan @ Barclays on M&amp;A urgency: Don't know how long the window will last, may rebound faster than we think https://t.co/jlCWoru0kp	1
5819749	my $ lnkd short worked . thank you $ gmcr for the hint . $ lnkd puts up <number> %	MY $LNKD short worked. Thank you $GMCR for the hint. $LNKD puts up 50%	1
5468109	$ isrg trading at all - time high after strong earnings report with <number> days of short interest .	$isrg trading at all-time high after strong earnings report with 4 days of short interest.	1
13685639	$ slv looking weak	$SLV looking weak	0
708381020765052928	fintech provider $ cafn cachet financial solutions surging forward today post earnings up <number> % <url> $ jkhy $ fisv momo	#Fintech provider $CAFN Cachet Financial Solutions Surging Forward today post earnings Up +13.26% https://t.co/9BJ3csk2i9 $JKHY $FISV #Momo	1
719927544900784128	added $ regn at <number>	Added $REGN at 402	1
719579663258021888	considering yahoo bid . up <number> , <number> % . $ yhoo	considering Yahoo bid . up 2,05% . $YHOO	1
5879099	$ wnr stopped out even from yesterdays entry at <number> probably headed to <number> s	$WNR stopped out even from yesterdays entry at 12.01 probably headed to 11.30s	0
7853493	$ spy $ mitk fast <number> pc dive <url> $ $	$SPY $MITK fast 56pc dive http://stks.co/3ffN $$	0
708400413049888768	<user> tomsosnoff getting out of his $ tsla <url>	@craigfalwell #TomSosnoff getting out of his $TSLA https://t.co/WYKxocmxGn	0
7569377	$ dang tapping on <number>	$DANG tapping on 10.00	1
719534374417346560	uch a bloated valuation . $ fb	uch a bloated valuation . $FB	0
22780978	ten year yield , weekly <url> <number> year yield still very bearish , hence <number> - <number> year t bond fund $ ief bullish . $ tlt too .	Ten year yield, weekly http://stks.co/r0Iw2 10 year yield still very bearish, hence 7-10 year T bond fund $IEF bullish. $TLT too.	1
6149800	$ fti puts came in	$FTI puts came in	0
37388803	$ aapl afternoon selloff as usual will be brutal . get ready to lose a ton of money .	$AAPL afternoon selloff as usual will be brutal. get ready to lose a ton of money.	0
711950545821573120	how does the largest cap company in the history of the world go up <number> % on no news ? $ aapl up from <$ <number> in january and nothing has changed .	How does the largest cap company in the history of the world go up 16% on no news? $AAPL up from &lt;$92 in January and nothing has changed.	1
719568993468571648	<user> $ ebay is also increasing fees again , could be good . but also can backfire it is cheap .	@Stephanie_Link $EBAY is also increasing fees again, could be good. but also can backfire It is cheap.	1
16444001	$ regn is not crazy ! indexes are engineered u  but little confidence in prev . hi beta hi performers <url>	$REGN is not crazy! Indexes are engineered U...but little confidence in prev. hi beta hi performers http://stks.co/rWPw	1
7795026	$ aapl so many people i have met in person or on fb have mentioned that they are waiting for iphone <number> to upgrade their phone . going to be epic	$AAPL So many people I have met in person or on FB have mentioned that they are waiting for iPhone5 to upgrade their phone. Going to be EPIC	1
8534727	$ kog hope kog shorters learned a lesson , dont mess with this bear	$KOG hope kog shorters learned a lesson,dont mess with this bear	1
709410816626454529	<user> with the skinny on why iphone <number> s is still better than galaxy s <number> $ aapl <url> <url>	@Chris_Ciaccia with the skinny on why iPhone 6s is still better than Galaxy S7 $AAPL https://t.co/L62kmsTRgU https://t.co/7ntBOzqbSx	1
27650004	$ gtat it may be risky but its a rush , i & # <number> ; ll give you that ! just make sure you don & # <number> ; t go long with all your money . play safe , be long .	$GTAT It may be risky but its a rush, I&#39;ll give you that! Just make sure you don&#39;t go long with all your money. Play safe, be long.	1
719745272515956736	$ ctrp just broke resistance , watching for a redtogreen breakout right out of the gate tomorrow morning . stocks <url>	$CTRP just broke resistance, watching for a #redtogreen #breakout right out of the gate tomorrow morning. #stocks https://t.co/8VXFUUIt04	1
709370300576571392	a new pm high for $ tsla was just reached . tsla $ <number> @ <number> : <number> : <number> am . found with momo stock discovery app for ios <url>	A new PM high for $TSLA was just reached. TSLA $212.81 @ 8:26:40 AM. Found with MOMO Stock Discovery #app for #ios https://t.co/m3XDmR9AVc	1
719600198956294144	$ tsla still they are saying bullish lol . <url>	$TSLA still they are saying bullish LoL . https://t.co/kKjGQXs7mY	0
719578476026527744	shirts time to short at this point . $ nflx	t's time to short at this point . $NFLX	0
719600100201226240	about to break out on the <number> - min . $ yhoo	About to break out on the 5-min . $YHOO	1
18464849	$ scty what & # <number> ; s a great move . still hold it since back in at the day before yesterday . marry christmas : - )	$SCTY what&#39;s a great move. still hold it since back in at the day before yesterday. Marry Christmas:-)	1
33922154	$ luv continues to consolidate above previous break out area 	$LUV Continues to consolidate above previous break out area...	1
16645732	$ eght hearing new ceo thinks company could be the crm of voip  giddy up !	$EGHT hearing new CEO thinks company could be the CRM of VOIP...giddy up!	1
8067736	$ grpn having a much better day than $ fb	$GRPN having a much better day than $FB	0
12018290	" <user> : $ uvxy broke <number> amazing ! ! ! " not really , and not the <number> st time , and won & # <number> ; t be the last	&quot;@protradermike: $UVXY broke 10.00 amazing!!!&quot; Not really, and not the 1st time, and won&#39;t be the last	1
31803848	$ aapl near a <number> % drop thats a lot  now the best i can do is hold er lol	$AAPL near a 3% drop thats a lot... now the best i can do is HOLD ER lol	0
32753195	$ vips delivering the goods again let & # <number> ; s see if that can spill over in other chinese internet names , $ bita started to wake up last week . $ baba	$VIPS delivering the goods again let&#39;s see if that can spill over in other chinese internet names, $BITA started to wake up last week. $BABA	1
11738018	$ velt : <number> = highest close since nov . <number> th ( day before gap down ) .	$VELT : 5.4 = Highest close since Nov. 14th (day before gap down).	1
14249400	$ ddd if a stock hits your <number> % loss u sell no exceptions and no crying you get out	$DDD If a stock hits your 7% loss u sell no exceptions and no crying you get out	0
