*	@neinasaservice Also ich hab ja in Berlin noch nie einen funktionierenden Bahn Service gesehen ¯\_ (ツ) _ / ¯	Service_und_Kundenbetreuung 
http://www.facebook.com/152033178165965/posts/930238600345415?comment\_id=930659470303328#152033178165965\_930238600345415\_930659470303328	Re : DB Bahn " Guten Morgen Das Zugteam und DB Bahn ! Danke an beiden für die Antworten ! Dann mache ich nun einen " " Strich " " unter den gestrigen Tag und sehe es einfach als unglückliche Zusammenkunft mehrerer ungültiger Umstände ... ein normaler Freitag halt :-P Schönes Wochenende zusammen ! "	unklare_Kategorie#nicht_identifizierbare_Kategorie 
http://twitter.com/ForceOneBot/statuses/660290153253101570	Die Erinnerung isst zu viel die Deutsche Bahn #TSGHSV https://t.co/YBERIAQGIm	unklare_Kategorie#nicht_identifizierbare_Kategorie 
http://www.suedkurier.de/unterhaltung/promis/news/boulevard/Schwebebahnen-zu-verschenken-Online-Wettbewerb-gestartet\;art402,8270979	Die Bahn ist voll mit Fußballatzen , die riechen wie 10 Tage Hochsommer ohne Dusche .	Atmosphäre#Geruch Atmosphäre 
http://www.morgenpost.de/politik/ausland/article206352619/Kampf-gegen-IS-US-Kehrtwende-in-Syrien.html	Schöner neuer Welcome-Screen für ICE-WLAN , @Telekom_hilft @DB_Bahn ! Bemerkenswert : Wettervorhersage für den Zug ? ;-) https://t.co/c0TAacHpBZ	Connectivity#WLAN_und_Internet 
http://www.morgenpost.de/politik/ausland/article206352619/Kampf-gegen-IS-US-Kehrtwende-in-Syrien.html	Re : Irgendwie hat es die Deutsche Bahn nicht so mit den Daten . Mitte Oktober ärgerte ich mich am Haltepunkt ... Ja , das mit der Beschilderung ist das eine Problem . Andererseits hilft es oft , selber irgendwas zu unternehmen ( zum Beispiel : es einfach versuchen ) . Ideal wäre es natürlich , wenn das Schild entweder abgenommen würde oder man darauf erkennen könnte , an wenn man sich wenden muss , wenn man den Aufzug wirklich jetzt braucht .	unklare_Kategorie#nicht_identifizierbare_Kategorie 
http://bazonline.ch/sport/fussball/Wolfsburg-jagt-Schweizer-Stuermerjuwel/story/17351745	RT @SWBBusundBahn : Es kommt Zurzeit auf einigen Bahn und Buslinien zu Unregelmäßigkeiten . Grund ist der Halloween Spaß , Eier auf die Fahrzeu …	unklare_Kategorie#nicht_identifizierbare_Kategorie 
http://www.sat1regional.de/dpa-news1/article/zweite-stadtbahn-in-hannover-entgleist-187915.html	Leute in Lederhosen in der Bahn ... Wir sind nicht in München , nicht in Bayern , ja wir sind nicht mal in Deutschland ! Wieso ?!	Atmosphäre 
http://www.sat1regional.de/dpa-news1/article/zweite-stadtbahn-in-hannover-entgleist-187915.html	Re : Asperger & HFA - Inklusion - Einer für alle , alle für einen " " " „ Er liebt Zugfahrten , aber er kann nicht alleine fahren . Er braucht eine Begleitperson “ , sagt Dargent . „ Er würde nie dort ankommen , wo er hin soll . “ " " Dazu muss man eigentlich nicht im autistischen Spektrum sein , der Zustand alleine , in dem sich Deutsche Bahn befindet , reicht dafür aus ! :-( "	Allgemein 
http://www.facebook.com/112784955679/posts/10153726763050680?comment\_id=10153727239090680#112784955679\_10153726763050680\_10153727239090680	@DB_Bahn was würde ein zusätzliches Fahrrad für diese Verbindung kosten ? In der APP finde ich keine Angaben dazu . https://t.co/GlJs16VTti	DB_App_und_Website#Informationen_DB_App_und_Website 
http://twitter.com/MonkeyGRAFIKS/statuses/660385094943813632	Zug .... ( die bahn macht Mobil ) https://t.co/QtkUcRBkun	unklare_Kategorie#nicht_identifizierbare_Kategorie 
https://plus.google.com/106967535142671617878/posts/5wJmGDR53bw	Ich weine einfach , weil ich jetzt diese verkackten Kinder in der Bahn ertragen muss	Atmosphäre 
http://twitter.com/gnisnem/statuses/660525848437596161	@DB_Bahn ist rausgebrochen . War plötzlich weg .	unklare_Kategorie#nicht_identifizierbare_Kategorie 
http://twitter.com/gnisnem/statuses/660525848437596161	08:26 Uhr - Die ersten Monster haben die Bahn betreten .	Atmosphäre 
